koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
104.8205868,4.4794,3920.1,76.6,6.45,5986.0,0.85,CANDIDATE
34.2966363,19.718,696.6,66.7,3.29,5490.0,1.167,CANDIDATE
31.56904354,2.6364,4229.4,113.6,11.18,5654.0,0.998,CANDIDATE
0.840594032,1.404,49.8,11.6,0.62,5440.0,0.885,CANDIDATE
20.6654374,3.172,100.4,13.6,0.66,4830.0,0.676,CANDIDATE
69.8347983,8.262,266.6,46.8,3.51,7732.0,2.022,CANDIDATE
2.59488443,1.684,592.2,14.9,2.36,4748.0,0.797,CANDIDATE
19.18109525,2.424,865.4,17.6,1.72,5214.0,0.587,CANDIDATE
220.65651253,7.82,,,,,,CANDIDATE
11.30507984,3.989,278.4,19.5,1.4,5705.0,0.844,CANDIDATE
9.9824036,1.09,83.9,5.4,1.17,6273.0,1.139,CANDIDATE
12.681733929,1.6866,5879.1,102.8,7.25,4976.0,0.701,CANDIDATE
83.09708021,9.2639,15860.0,277.2,13.83,5286.0,0.636,CANDIDATE
0.839961456,1.3008,492.9,35.1,1.63,4932.0,0.718,CANDIDATE
7.136922,2.8005,221.6,23.7,1.38,6086.0,0.921,CANDIDATE
5.83393857,4.5813,134.4,17.6,1.98,5597.0,1.699,CANDIDATE
6.33027476,3.67,89.2,9.8,1.02,5900.0,1.07,CANDIDATE
5.59728249,1.795,1407.3,30.8,3.28,5610.0,0.858,CANDIDATE
23.3397956,1.923,125.1,4.5,1.23,5671.0,1.084,CANDIDATE
51.3901452,5.995,494.0,15.4,3.62,6074.0,1.292,CANDIDATE
186.4361811,5.774,4347.0,66.5,11.32,5393.0,1.37,CANDIDATE
35.6364022,4.888,452.6,15.7,1.99,5926.0,0.887,CANDIDATE
8.98128472,5.0397,4924.0,76.6,7.19,5977.0,1.022,CANDIDATE
192.667139,5.443,1148.3,26.0,3.64,5401.0,0.878,CANDIDATE
52.971584,3.4632,3882.6,51.4,29.02,5204.0,0.789,CANDIDATE
5.91393977,0.562,84.0,2.8,1.07,6194.0,1.129,CANDIDATE
14.62399621,2.193,1082.0,25.0,21.92,5753.0,0.815,CANDIDATE
9.771462706,1.767,6933.2,215.0,10.15,5812.0,0.853,CANDIDATE
281.5628889,8.853,21012.0,237.1,10.83,4810.0,0.776,CANDIDATE
8.51170088,2.9,,,,,,CANDIDATE
6.93910337,2.977,614.7,22.9,1.41,3638.0,0.42,CANDIDATE
