period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,Name,StarID
11.37936986,2.6255,1023.5,3.95,99.68,806.0,5714.0,1.015,4.428,15.367,1,K00787.02,12366084
26.39432897,3.573,1510.9,3.07,13.49,489.0,5129.0,0.763,4.595,15.234,1,K00788.01,12404086
13.57078281,3.3539,511.7,2.64,89.61,785.0,5854.0,1.012,4.406,12.882,1,K00116.01,8395660
7.12594387,3.0014,192.4,1.79,233.31,997.0,5779.0,1.087,4.339,12.791,1,K00115.02,9579641
7.442652004,2.3078,24446.0,15.03,206.78,967.0,6108.0,0.956,4.469,15.27,0,K00774.01,11656840
16.38489988,3.0249,1127.1,2.0,8.35,433.0,4126.0,0.615,4.661,15.095,1,K00775.01,11754553
7.8774163,2.0805,1306.1,2.16,22.18,553.0,4126.0,0.615,4.661,15.095,1,K00775.02,11754553
36.4454001,4.007,1122.3,1.99,2.88,332.0,4126.0,0.615,4.661,15.095,1,K00775.03,11754553
3.728732147,2.683,5226.5,6.02,258.34,1023.0,5497.0,0.809,4.577,15.523,1,K00776.01,11812062
2.243380573,1.1196,821.7,1.99,107.6,822.0,4149.0,0.564,4.698,15.135,1,K00778.01,11853255
10.405998015,6.5036,14489.0,11.23,113.94,833.0,5746.0,0.924,4.393,15.562,0,K00779.01,11909839
2.337437946,1.9982,971.2,2.34,311.16,1070.0,5005.0,0.765,4.595,15.334,1,K00780.01,11918099
11.59822233,2.5237,2804.5,2.65,5.82,396.0,3688.0,0.473,4.79,15.937,1,K00781.01,11923270
6.575315881,4.3084,2793.3,5.31,251.38,1015.0,5992.0,0.989,4.415,15.312,1,K00782.01,11960862
7.275040844,7.5377,3001.0,4.86,113.64,833.0,5485.0,0.867,4.556,15.08,1,K00783.01,12020329
19.27153892,2.7594,1219.8,1.93,5.66,393.0,4077.0,0.56,4.702,15.385,1,K00784.01,12066335
10.06524317,1.369,1053.3,1.91,13.43,488.0,4077.0,0.56,4.702,15.385,1,K00784.02,12066335
12.3935651,3.8896,916.6,2.66,49.68,677.0,5557.0,0.75,4.603,15.505,1,K00785.01,12070811
43.84439721,6.802,615.2,2.87,18.77,531.0,5854.0,1.012,4.406,12.882,1,K00116.02,8395660
3.341913228,3.813,725.3,21.55,268.67,1032.0,5295.0,0.811,4.551,15.629,0,K00798.01,3120431
