koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_steff,koi_srad,koi_disposition
9.48803557,2.9575,615.8,35.8,2.26,5455.0,0.927,0.0
54.4183827,4.507,874.8,25.8,2.83,5455.0,0.927,0.0
1.736952453,2.40641,8079.2,505.6,33.46,5805.0,0.791,1.0
2.525591777,1.6545,603.3,40.9,2.75,6031.0,1.046,0.0
11.09432054,4.5945,1517.5,66.5,3.9,6046.0,0.972,0.0
4.13443512,3.1402,686.0,40.2,2.77,6046.0,0.972,0.0
2.56658897,2.429,226.5,15.0,1.59,6046.0,0.972,0.0
7.36178958,5.022,233.7,47.7,39.21,6227.0,1.958,1.0
16.06864674,3.5347,4914.3,161.9,5.76,5031.0,0.848,0.0
2.470613377,1.74319,14231.0,4304.3,13.04,5820.0,0.964,0.0
2.204735417,3.88864,6674.7,5945.9,16.1,6440.0,1.952,0.0
3.522498429,3.19843,9145.7,1741.5,14.59,6225.0,1.451,0.0
3.709214104,2.6302,131.1,50.6,1.16,5833.0,1.022,0.0
11.521446064,3.6399,17984.0,622.1,150.51,5795.0,0.848,1.0
19.40393776,12.2155,8918.7,214.7,7.18,5043.0,0.68,1.0
19.221388942,4.79843,74284.0,2317.0,49.29,6117.0,0.947,1.0
16.46983774,9.4378,10479.0,303.4,7.94,5152.0,0.786,1.0
9.27358173,3.2875,1288.3,87.2,2.47,4856.0,0.696,0.0
6.02930329,1.5821,1912.7,65.4,2.85,4537.0,0.672,0.0
2.696370652,3.6129,397.9,48.2,1.58,4989.0,0.819,1.0
5.349553819,3.0278,831.0,60.6,2.55,5185.0,0.91,0.0
3.94105221,2.5984,363.3,28.9,1.7,5185.0,0.91,0.0
8.10904807,3.596,217.4,14.1,1.3,5185.0,0.91,0.0
386.6030528,6.8057,24927.0,994.0,41.5,5543.0,1.58,1.0
21.67699193,3.4555,857.2,34.3,2.95,4954.0,0.828,0.0
4.99677968,2.1717,934.7,28.2,2.78,5339.0,0.847,0.0
4.280963604,2.875,750.8,61.8,2.3,5644.0,0.831,0.0
1.50635409,1.5155,2211.7,181.1,4.53,5714.0,0.831,1.0
670.645531,53.412,18091.0,642.7,14.14,5520.0,0.983,1.0
61.2563628,7.633,5123.3,85.3,39.87,6144.0,1.091,1.0
38.3775486,5.588,724.2,34.7,2.82,5481.0,1.036,0.0
41.19725502,4.6297,2213.9,51.2,3.86,5031.0,0.848,0.0
6.252962249,2.5819,1036.9,47.1,2.65,5031.0,0.848,0.0
16.01308419,3.2554,1121.9,33.2,3.1,5015.0,0.826,0.0
32.62876672,4.7971,1804.8,80.0,3.36,5586.0,0.798,0.0
91.7732862,6.473,652.0,19.1,2.12,5586.0,0.798,0.0
4.959319244,2.22739,9802.0,696.5,12.21,5712.0,1.082,0.0
2.701287801,3.3827,860.4,48.3,6.54,5550.0,0.91,1.0
4.49876511,3.7362,460.0,29.5,2.1,6075.0,0.969,0.0
19.651209505,5.2514,11766.0,513.4,12.42,6074.0,1.063,1.0
5.412203927,2.9472,601.6,166.7,2.94,5779.0,1.087,0.0
41.43958662,10.5989,2793.1,141.1,5.5,5468.0,1.046,0.0
8.35389523,2.2514,1041.6,43.4,2.52,5592.0,0.787,0.0
4.125543472,3.1744,1487.3,128.6,4.43,6174.0,1.103,0.0
2.816504904,2.50587,16814.0,1406.8,12.21,5532.0,0.955,0.0
33.93373447,14.561,8503.7,236.1,7.34,5040.0,0.705,1.0
3.689920099,2.6557,426.7,35.6,1.89,5880.0,0.917,0.0
4.431238488,3.15,1010.9,71.1,3.25,5714.0,1.015,0.0
11.37936986,2.6255,1023.5,37.9,3.95,5714.0,1.015,0.0
26.39432897,3.573,1510.9,48.2,3.07,5129.0,0.763,0.0
13.57078281,3.3539,511.7,88.4,2.64,5854.0,1.012,0.0
7.12594387,3.0014,192.4,47.1,1.79,5779.0,1.087,0.0
7.442652004,2.3078,24446.0,835.6,15.03,6108.0,0.956,1.0
16.38489988,3.0249,1127.1,28.9,2.0,4126.0,0.615,0.0
7.8774163,2.0805,1306.1,38.7,2.16,4126.0,0.615,0.0
36.4454001,4.007,1122.3,21.7,1.99,4126.0,0.615,0.0
3.728732147,2.683,5226.5,345.2,6.02,5497.0,0.809,0.0
2.243380573,1.1196,821.7,38.9,1.99,4149.0,0.564,0.0
10.405998015,6.5036,14489.0,745.2,11.23,5746.0,0.924,1.0
2.337437946,1.9982,971.2,82.4,2.34,5005.0,0.765,0.0
11.59822233,2.5237,2804.5,71.0,2.65,3688.0,0.473,0.0
6.575315881,4.3084,2793.3,221.1,5.31,5992.0,0.989,0.0
7.275040844,7.5377,3001.0,312.1,4.86,5485.0,0.867,0.0
19.27153892,2.7594,1219.8,37.1,1.93,4077.0,0.56,0.0
10.06524317,1.369,1053.3,30.3,1.91,4077.0,0.56,0.0
12.3935651,3.8896,916.6,35.8,2.66,5557.0,0.75,0.0
43.84439721,6.802,615.2,83.7,2.87,5854.0,1.012,0.0
3.341913228,3.813,725.3,39.0,21.55,5295.0,0.811,1.0
1.626630225,2.1145,1620.6,103.6,32.43,5735.0,0.973,1.0
2.711504086,3.0099,837.5,64.5,3.12,6214.0,1.076,0.0
7.21203748,4.0491,950.4,51.5,3.32,6214.0,1.076,0.0
14.1798187,2.505,459.9,11.2,1.88,5799.0,0.878,1.0
8.47237911,2.7245,1123.5,47.6,2.59,5354.0,0.788,0.0
60.4189369,5.039,931.3,20.1,2.36,5354.0,0.788,0.0
12.611904345,5.1497,6105.6,277.2,7.4,5795.0,0.919,0.0
1.433769925,1.8868,1976.3,112.6,46.58,6017.0,1.339,1.0
10.31872301,3.836,871.7,38.2,28.59,5927.0,1.06,1.0
2.539183147,2.4282,382.1,38.9,2.06,5519.0,1.062,0.0
6.770300385,2.0844,1304.0,50.8,2.77,5653.0,0.679,0.0
0.444291966,2.0792,10967.0,299.7,27.51,5255.0,0.636,1.0
20.06036336,3.3203,1494.7,35.2,1.96,3950.0,0.493,0.0
46.1842039,4.758,1394.7,26.0,1.83,3950.0,0.493,0.0
23.9800854,5.351,104.0,17.1,1.31,5854.0,1.012,0.0
7.82502168,2.186,520.8,15.9,1.2,3950.0,0.493,0.0
3.895936525,2.3111,8544.8,370.8,7.34,5557.0,0.774,0.0
22.36646466,5.228,986.8,32.1,2.32,5395.0,0.734,0.0
1.625522174,2.38963,7969.0,799.7,9.73,5539.0,1.106,0.0
7.544039,6.222,322.6,14.2,17.47,5657.0,0.824,1.0
9.02930689,3.1449,1019.8,53.9,2.57,5349.0,0.82,0.0
10.328035714,7.7915,16918.0,636.8,13.28,5627.0,1.024,1.0
143.2063047,8.9302,10566.0,138.8,8.9,5485.0,0.867,0.0
6.164876,3.262,55.8,14.4,0.79,5854.0,1.012,0.0
60.32494216,6.6188,20280.0,347.2,12.19,5485.0,0.867,0.0
29.1598615,4.803,488.0,11.6,1.91,5485.0,0.867,0.0
1.540397253,2.1541,816.1,38.8,25.69,5663.0,0.915,1.0
2.99025443,5.414,589.2,48.5,1.7,4667.0,0.731,1.0
1.594745374,1.9604,15044.0,1009.3,11.3,5934.0,0.893,0.0
4.783002698,2.335,1008.7,70.6,2.5,5170.0,0.807,0.0
20.50588921,4.0595,2105.5,78.5,3.41,4905.0,0.761,0.0
3.340218842,1.9104,1632.6,71.6,2.03,3950.0,0.493,0.0
