period,duration,depth,radius,insol,teq,teff,srad,logg,mag,label,planetTd,StarID
2.76676,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,5346.0,0.984866,4.48823,13.2366,1,109.01,29344935
2.19296,4.586,4933.74,22.7769,31883.5,3722.0,7009.8,2.95,3.6,10.0196,0,1090.01,361034196
1.1923,3.119,3730.0,30.666,40771.2,3958.0,6534.0,2.04,3.95,9.0039,0,1092.01,387079085
0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,6553.0,2.8908899,3.65,10.11,0,1096.01,375225453
9.188506,2.492,460.0,2.16591,63.4589,786.0,5876.0,0.98,4.48,8.7215,1,1097.01,360630575
13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,5876.0,0.983215,4.48,8.7215,1,1097.02,360630575
10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,6153.0,1.14582,4.34814,8.7581,1,1098.01,383390264
6.441006,1.812,914.0,2.56374,87.8902,853.0,4867.0,0.8,4.438,7.3661,1,1099.01,290348383
3.1743504,2.751086,15457.3247576,14.9172256,718.9096994,1320.6518234,5943.0,1.15706,4.42524,11.6714,1,110.01,281459670
20.0731588,3.8449215,1152.9645461,4.0506906,69.3993155,736.1368293,6033.0,1.14849,4.37,10.5135,0,1100.01,318608749
2.66903,1.548,3110.0,9.36823,429.86,1268.0,5803.5,1.56,4.07,10.5891,0,1101.01,271581073
6.63371,2.122,1555.34,2.75375,22.9987,610.0,4138.1,0.63,4.54,10.5652,0,1102.01,311890977
341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,6058.6,1.39203,4.2,7.5622,0,1104.01,451599528
4.0782392,4.8475616,6046.6959687,13.898174,1619.0081232,1617.8267296,6501.0,1.74836,4.08,10.0068,1,1107.01,394561119
7.04083,2.979,1580.0,8.46404,852.336,1505.0,5317.0,0.91,4.49,9.7906,0,1109.01,50309953
2.1061569,1.4688934,12142.2238514,13.086872,691.8428073,1308.0417533,5380.0,0.940697,4.4337,13.183,1,111.01,355703913
2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,6610.0,1.64,4.15,9.6789,0,1110.01,446549905
11.4756978,0.808,8341.0,14.1098,11.4585,512.0,7262.0,2.13,4.0,9.3871,0,1111.01,412014494
2.78186,2.456,490.0,4.92567,1323.21,1680.0,6819.0,2.21,3.92,9.5162,0,1112.01,369864738
6.4410082,1.798,7076.0,4.59203,8.2114,471.0,3469.0,0.53,4.71,9.66865,0,1113.01,290348382
2.4997996,2.865171,14621.2059647,13.8516093,907.8624196,1399.9894384,5650.0,1.13732,4.28867,11.6035,1,112.01,388104525
1.66226,3.321,6030.0,13.3343,7149.89,2561.0,7301.0,1.64,4.23,10.4063,0,1120.01,143257766
1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,5034.0,0.73,4.64,10.3579,0,1126.01,405862830
13.5499,1.795,1180.0,6.24633,31.6652,660.0,6209.0,1.63,4.09,9.7298,0,1128.01,425721385
4.43651,3.365,1520.0,19.9664,8233.41,2653.0,7101.9,2.32,3.91,8.7823,0,1129.01,91576611
3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,6050.0,1.02,4.45061,12.1893,1,113.01,97409519
8.34998,1.836,16680.0,11.1424,19.9348,588.0,4236.0,0.74,4.52,10.1429,1,1130.01,254113311
4.0686405,1.8373729,2650.0950013,3.7548333,84.108766,772.378302,4236.0,0.741921,4.52,10.1429,1,1130.02,254113311
1.5502952,2.938,411.0,3.34528,10796.6,2839.0,7851.0,1.86,4.17,9.2293,0,1132.01,267489265
1.80709,3.297,450.0,4.86242,7233.01,2569.0,6244.0,2.2,3.84,9.11458,0,1133.01,69997672
18.6922101,7.765,11126.0,18.1458,282.175,1141.0,6277.0,1.65,4.09,9.03609,0,1134.01,122220263
8.0277326,4.284,5705.0,9.06883,248.619,1106.0,5962.7,1.15,4.38,9.02855,1,1135.01,154872375
12.5187279,5.38,2320.0,5.58857,626.362,1393.0,5729.0,0.98,4.47,8.9361,1,1136.01,142276270
6.2586065,3.201,813.0,2.51593,232.392,1087.0,5729.0,0.98,4.47,8.9361,1,1136.02,142276270
26.3208756,4.414,800.0,2.71349,26.4328,631.0,5729.0,0.98,4.47,8.9361,1,1136.03,142276270
18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,5729.0,0.977727,4.47,8.9361,1,1136.04,142276270
0.64971,2.076,620.0,6.23181,83182.0,4731.0,9994.0,2.59,4.02,8.90601,0,1138.01,110428269
3.2887898,3.4367717,7005.7247902,10.5135877,759.3373533,1338.8392647,5800.0,1.24175,4.28004,10.6103,1,114.01,25155310
16.9487087,4.2887767,156467.5479643,45.2204505,78.263287,758.5937679,5894.7,1.1179,4.37,8.8523,0,1141.01,159510109
3.3686634,3.012,3288.0,42.2321,9856.24,2775.0,7518.0,2.68,3.82,8.64028,0,1142.01,284450803
11.2071839,4.366,3276.0,17.4989,813.063,1487.0,6152.0,2.24,3.84,8.63287,0,1143.01,160268701
4.8878037,2.184,4279.0,5.29152,71.6805,810.0,4757.3,0.76,4.56,8.5077,1,1144.01,28230919
0.660179,1.6349369,473.0939303,6.1672487,252487.7638842,5717.1532477,8598.7,2.62432,4.1,8.40386,0,1146.01,21755546
10.9278415,2.468,2743.0,49.1695,270.142,1129.0,6259.0,2.92,3.59,8.36544,0,1147.01,288391628
5.5514888,4.335,9493.0,15.8043,802.858,1482.0,6403.9,1.55,4.16,7.9179,1,1148.01,349827430
4.7423709,2.4988145,12650.8110411,10.5505922,209.7699043,970.6340996,5377.0,0.877585,4.42476,13.0417,1,115.01,281541555
1.4810903,4.1588291,6788.5145388,20.3402421,33326.7304874,3446.0210572,9435.0,2.28773,4.11,7.58204,1,1150.01,16740101
